MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
Liander N.V.	Liander N.V. (NW)	De Ruyterkade Steigers	1011AA	1011AB	AMSTERDAM	ELK	KVB	34	100.0	47.06	29	3x25	13601	41.18	20.59	1.3
Liander N.V.	GAS Liander	De Ruyterkade	1011AC	1011AC	AMSTERDAM	GAS	KVB	23	100.0	73.91	39	G6	5227	0.0	26.09	
Liander N.V.	Liander N.V. (NW)	De Ruyterkade	1011AC	1011AC	AMSTERDAM	ELK	KVB	38	100.0	57.89	34	3x25	14672	36.84	26.32	1.0
Liander N.V.	Liander N.V. (NW)	Oosterdokskade	1011AD	1011AD	AMSTERDAM	ELK	KVB	19	100.0	5.26	58	3x25	4026	47.37	0.0	1.5
Liander N.V.	GAS Liander	Oosterdokskade	1011AD	1011AE	AMSTERDAM	GAS	KVB	11	100.0	45.45	82	G4	1131	0.0	9.09	
Liander N.V.	Liander N.V. (NW)	Oosterdokskade AB	1011AE	1011AE	AMSTERDAM	ELK	KVB	19	100.0	36.84	63	3x25	3239	31.58	5.26	1.0
	GAS Liander	Prins Hendrikkade	1011AG	1011AH	AMSTERDAM	GAS	KVB	27	100.0	100.0	96	G4	2528	0.0	22.22	
	Liander N.V. (NW)	Prins Hendrikkade	1011AG	1011AG	AMSTERDAM	ELK	KVB	14	100.0	92.86	29	1x35	19220	50.0	35.71	1.6
	Liander N.V. (NW)	Prins Hendrikkade	1011AH	1011AH	AMSTERDAM	ELK	KVB	21	100.0	100.0	67	1x25	4238	14.29	4.76	1.1
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011AJ	1011AJ	AMSTERDAM	ELK	KVB	21	100.0	90.48	48	1x35	8360	38.1	38.1	1.1
Liander N.V.	GAS Liander	Prins Hendrikkade	1011AJ	1011AJ	AMSTERDAM	GAS	KVB	16	100.0	93.75	75	G4	1508	0.0	43.75	
	Liander N.V. (NW)	Prins Hendrikkade	1011AK	1011AK	AMSTERDAM	ELK	KVB	13	100.0	61.54	46	3x25	9634	30.77	7.69	1.0
Liander N.V.	Liander N.V. (NW)	Houtkopersdwarsstraat	1011AL	1011AM	AMSTERDAM	ELK	KVB	15	100.0	80.0	40	3x25	13024	66.67	60.0	1.3
Liander N.V.	GAS Liander	Prins Hendrikkade	1011AM	1011AN	AMSTERDAM	GAS	KVB	29	100.0	93.1	83	G4	2263	0.0	58.62	
	Liander N.V. (NW)	Prins Hendrikkade	1011AN	1011AN	AMSTERDAM	ELK	KVB	29	100.0	86.21	38	1x35	2146	48.28	41.38	1.3
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011AP	1011AP	AMSTERDAM	ELK	KVB	20	100.0	70.0	50	1x35	5926	55.0	45.0	1.0
	GAS Liander	Prins Hendrikkade	1011AP	1011AP	AMSTERDAM	GAS	KVB	19	100.0	73.68	89	G4	3285	0.0	47.37	
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011AR	1011AR	AMSTERDAM	ELK	KVB	32	100.0	90.63	44	1x35	7583	25.0	15.63	1.3
	GAS Liander	Prins Hendrikkade	1011AR	1011AR	AMSTERDAM	GAS	KVB	19	100.0	100.0	63	G4	2153	0.0	26.32	
	Liander N.V. (NW)	Prins Hendrikkade	1011AS	1011AS	AMSTERDAM	ELK	KVB	12	100.0	75.0	42	3x25	4463	50.0	25.0	1.3
	GAS Liander	Prins Hendrikkade	1011AS	1011AV	AMSTERDAM	GAS	KVB	20	100.0	100.0	65	G4	4683	0.0	40.0	
	Liander N.V. (NW)	Prins Hendrikkade	1011AT	1011AT	AMSTERDAM	ELK	KVB	12	100.0	83.33	33	1x35	8599	25.0	0.0	1.4
	Liander N.V. (NW)	Prins Hendrikkade	1011AV	1011AV	AMSTERDAM	ELK	KVB	18	100.0	83.33	44	3x25	3936	55.56	44.44	1.1
	GAS Liander	Prins Hendrikkade	1011AW	1011AW	AMSTERDAM	GAS	KVB	13	100.0	100.0	92	G4	1228	0.0	23.08	
	Liander N.V. (NW)	Prins Hendrikkade	1011AW	1011AW	AMSTERDAM	ELK	KVB	20	100.0	95.0	50	1x35	2372	35.0	15.0	1.2
Liander N.V.	Liander N.V. (NW)	Buiten Bantammerstraat	1011AX	1011AX	AMSTERDAM	ELK	KVB	17	100.0	82.35	59	3x25	3850	70.59	64.71	1.0
	GAS Liander	Buiten Bantammerstraat	1011AX	1011AX	AMSTERDAM	GAS	KVB	14	100.0	92.86	93	G4	2151	0.0	71.43	
	Liander N.V. (NW)	Schippersstraat	1011AZ	1011AZ	AMSTERDAM	ELK	KVB	30	100.0	76.67	53	1x35	2805	100.0	73.33	2.0
	GAS Liander	Schippersstraat	1011AZ	1011AZ	AMSTERDAM	GAS	KVB	30	100.0	70.0	97	G4	1415	0.0	63.33	
Liander N.V.	Liander N.V. (NW)	Schippersstraat	1011BA	1011BA	AMSTERDAM	ELK	KVB	19	94.74	36.84	63	3x25	2267	57.89	31.58	1.0
Liander N.V.	GAS Liander	Schippersstraat	1011BA	1011BA	AMSTERDAM	GAS	KVB	15	100.0	40.0	87	G4	1063	0.0	33.33	
Liander N.V.	GAS Liander	Schippersstraat	1011BB	1011BC	AMSTERDAM	GAS	KVB	22	100.0	90.91	91	G4	2120	0.0	45.45	
